Threshold,Precision,Recall,F1_Score,ROC_AUC,True_Negatives,False_Positives,False_Negatives,True_Positives,Total_Cost,Cost_per_Observation
0.63,0.9313725490196079,0.475,0.6291390728476821,0.9855205508474576,11793,7,105,95,52570,4.380833333333333
0.64,0.9292929292929293,0.46,0.6153846153846154,0.9855205508474576,11793,7,108,92,54070,4.505833333333333
0.65,0.9278350515463918,0.45,0.6060606060606061,0.9855205508474576,11793,7,110,90,55070,4.589166666666666
0.66,0.9354838709677419,0.435,0.5938566552901023,0.9855205508474576,11794,6,113,87,56560,4.713333333333333
0.67,0.9325842696629213,0.415,0.5743944636678201,0.9855205508474576,11794,6,117,83,58560,4.88
0.68,0.9512195121951219,0.39,0.5531914893617021,0.9855205508474576,11796,4,122,78,61040,5.086666666666667
0.69,0.9493670886075949,0.375,0.5376344086021505,0.9855205508474576,11796,4,125,75,62540,5.211666666666667
0.7,0.958904109589041,0.35,0.5128205128205128,0.9855205508474576,11797,3,130,70,65030,5.4191666666666665
0.71,0.9565217391304348,0.33,0.49070631970260226,0.9855205508474576,11797,3,134,66,67030,5.585833333333333
0.72,0.953125,0.305,0.4621212121212121,0.9855205508474576,11797,3,139,61,69530,5.7941666666666665
0.73,0.9516129032258065,0.295,0.45038167938931295,0.9855205508474576,11797,3,141,59,70530,5.8775
0.74,0.9661016949152542,0.285,0.44015444015444016,0.9855205508474576,11798,2,143,57,71520,5.96
0.75,0.9821428571428571,0.275,0.4296875,0.9855205508474576,11799,1,145,55,72510,6.0425
0.76,0.9821428571428571,0.275,0.4296875,0.9855205508474576,11799,1,145,55,72510,6.0425
0.77,1.0,0.27,0.4251968503937008,0.9855205508474576,11800,0,146,54,73000,6.083333333333333
0.78,1.0,0.26,0.4126984126984127,0.9855205508474576,11800,0,148,52,74000,6.166666666666667
0.79,1.0,0.24,0.3870967741935484,0.9855205508474576,11800,0,152,48,76000,6.333333333333333
0.8,1.0,0.23,0.37398373983739835,0.9855205508474576,11800,0,154,46,77000,6.416666666666667
0.81,1.0,0.22,0.36065573770491804,0.9855205508474576,11800,0,156,44,78000,6.5
0.82,1.0,0.215,0.35390946502057613,0.9855205508474576,11800,0,157,43,78500,6.541666666666667
0.83,1.0,0.21,0.34710743801652894,0.9855205508474576,11800,0,158,42,79000,6.583333333333333
0.84,1.0,0.19,0.31932773109243695,0.9855205508474576,11800,0,162,38,81000,6.75
0.85,1.0,0.175,0.2978723404255319,0.9855205508474576,11800,0,165,35,82500,6.875
0.86,1.0,0.15,0.2608695652173913,0.9855205508474576,11800,0,170,30,85000,7.083333333333333
0.87,1.0,0.14,0.24561403508771928,0.9855205508474576,11800,0,172,28,86000,7.166666666666667
0.88,1.0,0.13,0.23008849557522124,0.9855205508474576,11800,0,174,26,87000,7.25
0.89,1.0,0.12,0.21428571428571427,0.9855205508474576,11800,0,176,24,88000,7.333333333333333
